AOA,Cl,Cd
[deg],[-],[-]
-0.1,0.2,0.022
0,0.2,0.022
0,0.19,0.021
0.2,0.21,0.022
0.3,0.22,0.022
0.3,0.22,0.021
0.3,0.22,0.022
0.4,0.22,0.022
0.7,0.26,0.024
0.7,0.25,0.022
0.7,0.25,0.022
0.9,0.27,0.023
0.9,0.28,0.023
0.9,0.27,0.023
1,0.28,0.023
1.2,0.29,0.023
1.4,0.31,0.024
1.6,0.34,0.024
1.7,0.32,0.023
2,0.36,0.026
2,0.36,0.023
2.1,0.37,0.024
2.2,0.38,0.026
2.2,0.38,0.021
2.9,0.44,0.029
2.9,0.44,0.027
3.4,0.48,0.028
3.7,0.5,0.029
3.8,0.5,0.029
3.8,0.51,0.028
3.9,0.52,0.03
3.9,0.52,0.028
5.3,0.62,0.031
6.1,0.71,0.044
6.1,0.74,0.043
6.4,0.75,0.041
6.6,0.77,0.042
6.7,0.76,0.036
6.9,0.78,0.047
7.2,0.81,0.046
7.4,0.83,0.049
7.7,0.87,0.055
8.8,0.95,0.054
8.9,0.98,0.057
8.9,1.01,0.069
9,0.98,0.066
9.3,0.98,0.055
9.4,1.02,0.053
